mESC,pro-B,Myotube,Th-cell,Macrophage
NM_015802,NM_172424,NM_025974,NM_009969,NM_001039493
NM_009556,NM_145853,NM_011607,NM_177782,NM_172133
NM_008452,NM_008507,NM_030215,NM_011210,NM_009263
NM_010499,NM_175092,NM_030888,NM_145823,NM_178772
NM_173866,NM_029850,NM_052993,NM_007570,NM_175212
NM_021390,NM_019639,NM_146102,NM_009895,NM_172508
NM_177224,NM_021611,NM_177047,NM_030256,NM_008512
NM_025812,NM_007393,NM_001085453,NM_013660,NM_133723
NM_026942,NM_001010941,NM_028977,NM_010583,NM_010160
NM_025274,NM_153572,NM_001161767,NR_029738,NM_001033301
NM_028838,NM_133898,NM_001037929,NM_001145433,NM_144854
NM_001042503,NM_175048,NM_175347,NM_008696,NM_011815
NM_025974,NM_021892,NM_001081103,NM_001112700,NM_007481
NM_175114,NR_029719,NM_001081425,NM_009886,NM_001033122
NM_001177776,NM_010070,NM_001101433,NM_001163189,NM_013918
NM_001161845,NM_001037727,NM_172768,NM_009843,NM_001003948
NM_001161848,NM_008881,NM_012026,NM_054050,NM_001146201
NM_026113,NM_001178058,NM_139298,NM_009578,NM_027058
NR_035450,NM_001197321,NM_008535,NM_026170,NM_172424
NM_029083,NM_053202,NM_133805,NM_018754,NM_011355
NM_027384,NM_001166432,NM_001163660,NM_026257,NM_001166391
NM_178606,NM_144815,NM_001081100,NM_053008,NM_175476
NM_024440,NM_001128151,NM_008549,NM_010194,NM_175091
NM_175329,NM_013545,NM_177909,NM_019952,NM_008869
NM_009929,NM_001033122,NM_010254,NM_008577,NM_175512
NM_008162,NM_019426,NM_001034891,NM_007548,NM_133847
NM_001017525,NM_008511,NM_178888,NM_027127,NM_080708
NM_001083587,NM_010656,NM_133904,NM_001081067,NM_001038664
NM_001159401,NM_019923,NM_145500,NM_009128,NM_030599
NM_172496,NM_001178001,NR_033631,NM_178890,NM_001033135
NM_023146,NM_026355,NM_144534,NM_001081104,NM_024173
NM_011694,NM_007655,NM_024291,NM_145928,NM_021461
NM_021327,NM_001163554,NM_019737,NM_001081417,NM_011113
NM_028448,NM_011577,NM_175344,NR_028555,NM_176839
NM_178656,NM_011756,NM_173033,NM_001042564,NM_033144
NM_177392,NM_011662,NM_172868,NM_027209,NM_054102
