mESC,pro-B,Myotube,Th-cell,Macrophage
,,,,NM_011420
,,,,NM_001033443
,,,,NM_175121
,,,,NM_016891
,,,,NM_013820
,,,,NM_029623
,,,,NM_001110276
,,,,NM_010119
,,,,NM_175489
,,,,NM_153800
,,,,NM_175644
,,,,NM_001167746
,,,,NM_010197
,,,,NM_001195031
,,,,NM_001033966
,,,,NM_177068
,,,,NM_207653
,,,,NM_001168623
,,,,NM_001111330
,,,,NM_001083934
,,,,NM_207636
,,,,NM_001163761
,,,,NM_019456
,,,,NM_133733
,,,,NM_001081346
,,,,NM_184088
,,,,NM_133810
,,,,NM_030245
,,,,NM_026028
,,,,NM_016762
,,,,NM_015774
,,,,NM_145537
,,,,NM_027460
,,,,NM_021325
,,,,NM_021457
,,,,NM_028953
,,,,NM_026189
,,,,NM_007774
,,,,NM_001130165
,,,,NM_001034851
,,,,NM_007924
,,,,NM_178279
,,,,NM_008321
,,,,NM_008380
,,,,NM_008250
,,,,NM_172771
,,,,NR_003513
,,,,NM_001159562
,,,,NM_013454
,,,,NM_001081117
,,,,NM_138306
,,,,NM_001025577
,,,,NM_144559
,,,,NM_172289
,,,,NM_016716
,,,,NM_009594
,,,,NM_010106
,,,,NM_027668
,,,,NM_011099
,,,,NM_009870
,,,,NM_001122768
,,,,NM_001034910
,,,,NM_176845
,,,,NM_001164791
,,,,NM_027758
,,,,NM_013489
,,,,NM_001113569
,,,,NM_010591
,,,,NM_152817
,,,,NM_025453
,,,,NM_172955
,,,,NM_026922
,,,,NM_145976
,,,,NR_029457
,,,,NM_001122639
,,,,NR_028589
,,,,NM_029767
,,,,NM_008336
,,,,NM_025774
,,,,NM_022019
,,,,NM_022018
,,,,NM_009317
,,,,NM_025927
,,,,NM_029721
,,,,NM_201518
,,,,NM_010162
,,,,NM_001045528
,,,,NM_025446
,,,,NM_026746
,,,,NM_001081212
,,,,NM_021297
,,,,NM_183391
,,,,NR_035428
,,,,NM_008338
,,,,NM_008152
,,,,NM_172791
,,,,NM_010330
,,,,NM_010230
,,,,NM_172939
,,,,NM_011604
,,,,NM_053119
,,,,NM_001099277
,,,,NM_009456
,,,,NM_011426
,,,,NM_001142336
,,,,NM_133688
,,,,NM_177184
,,,,NM_027572
,,,,NM_008591
,,,,NM_011479
,,,,NM_010266
,,,,NM_172769
,,,,NM_001077407
,,,,NM_009471
,,,,NM_001025430
,,,,NM_009266
,,,,NM_028852
,,,,NM_028810
,,,,NR_030429
,,,,NM_011905
,,,,NM_009912
,,,,NM_153054
,,,,NM_010683
,,,,NM_010728
,,,,NM_008173
,,,,NM_001040400
,,,,NM_026341
,,,,NM_008842
,,,,NM_008160
,,,,NM_007798
,,,,NM_144835
,,,,NM_172255
,,,,NM_025967
,,,,NM_020008
,,,,NM_010902
,,,,NM_030691
,,,,NM_007585
,,,,NM_016721
,,,,NM_028803
,,,,NM_027840
,,,,NM_010433
,,,,NM_177343
,,,,NM_019727
,,,,NM_013590
,,,,NM_026550
,,,,NM_009072
,,,,NM_022984
,,,,NM_027578
,,,,NM_001161365
,,,,NM_032002
,,,,NM_011198
,,,,NM_146139
,,,,NM_010248
,,,,NR_028264
,,,,NM_016921
,,,,NM_198894
,,,,NM_007975
,,,,NM_001101433
,,,,NM_001081011
,,,,NM_029810
,,,,NM_001039657
,,,,NM_011201
,,,,NM_001033393
,,,,NM_144761
,,,,NR_033630
,,,,NM_133761
,,,,NM_177320
,,,,NM_010234
,,,,NM_023324
,,,,NM_010497
,,,,NM_172967
,,,,NM_146097
,,,,NM_144788
,,,,NM_030724
,,,,NM_008144
,,,,NM_001162921
,,,,NM_022410
,,,,NM_008037
,,,,NM_175437
,,,,NM_009593
,,,,NM_016719
,,,,NM_001168403
,,,,NM_139061
,,,,NR_027893
,,,,NM_007912
,,,,NM_001038641
,,,,NR_029795
,,,,NM_010777
,,,,NM_178589
,,,,NM_027188
,,,,NM_019688
,,,,NM_001162913
,,,,NM_172420
,,,,NM_177123
,,,,NM_013890
,,,,NM_178883
,,,,NR_015543
,,,,NM_027808
,,,,NM_133741
,,,,NM_010053
,,,,NM_024194
,,,,NM_145528
,,,,NM_001163154
,,,,NM_024281
,,,,NM_001168277
,,,,NM_139297
,,,,NM_001114312
,,,,NM_001037127
,,,,NM_001033341
,,,,NM_010907
,,,,NM_001048207
,,,,NM_001177392
,,,,NM_001145096
,,,,NM_177686
,,,,NM_001005509
,,,,NM_011931
,,,,NM_133839
,,,,NM_023129
,,,,NM_138595
,,,,NM_009215
,,,,NM_007619
,,,,NM_007386
,,,,NM_001024474
,,,,NM_009931
,,,,NM_029780
,,,,NM_001177412
,,,,NM_020047
,,,,NM_144921
,,,,NM_023380
,,,,NM_177688
,,,,NM_010401
,,,,NM_001033228
,,,,NM_001001309
,,,,NM_153087
,,,,NM_183270
,,,,NM_026371
,,,,NM_001039537
,,,,NM_001177469
,,,,NM_008547
,,,,NM_172405
,,,,NM_027872
,,,,NM_134257
,,,,NM_007607
,,,,NM_019564
,,,,NM_001122733
,,,,NM_001163314
