mESC,pro-B,Myotube,Th-cell
NM_026113,NM_010070,NM_178888,NM_007548
NR_035450,NM_001037727,NM_011375,NM_027127
NM_029083,NM_008881,NM_133904,NM_001081067
NM_027384,NM_001178058,NM_145500,NM_009128
NM_178606,NM_001197321,NR_033631,NM_178890
NM_178606,NM_001197321,NM_144534,NM_001081104
NM_024440,NM_053202,NM_024291,NM_145928
NM_175329,NM_001166432,NM_019737,NM_001081417
NM_009929,NM_144815,NM_175344,NR_028555
NM_008162,NM_001128151,NM_173033,NM_001042564
NM_001017525,NM_001128151,NM_172868,NM_027209
NM_001083587,NM_013545,NM_011424,NM_011681
NM_001159401,NM_001033122,NM_001039669,NM_008353
NM_172496,NM_001033122,NM_177068,NM_010223
NM_023146,NM_019426,NM_001081970,NM_025967
NM_011694,NM_019426,NM_008609,NM_010876
NM_021327,NM_008511,NM_194350,NM_010559
NM_028448,NM_010656,NM_001077407,NM_009852
NM_178656,NM_019923,NM_011923,NM_027136
NM_177392,NM_001178001,NM_175484,NM_133694
NM_001034097,NM_026355,NM_153114,NM_008026
NM_008952,NM_007655,NM_010708,NM_008372
NM_054043,NM_001163554,NM_025961,NM_009630
NM_139311,NM_011577,NM_198602,NM_010581
NM_001176528,NM_011756,NM_001081225,NM_134250
NM_011551,NM_011662,NR_027784,NM_011193
NM_010838,NM_007645,NM_016667,NM_013542
NM_145823,NM_021366,NM_153179,NM_008494
NR_027059,NM_001081345,NM_146001,NM_011385
NM_007707,NM_001081345,NR_030423,NM_015811
NM_008709,NM_013659,NM_026514,NM_001077509
NM_008709,NM_008803,NM_001163031,NM_144551
NM_008709,NR_015614,NM_145144,NM_008562
NR_033689,NM_011671,NM_010019,NR_003523
NM_010907,NR_029791,NM_001164048,NM_027898
NM_145442,NR_028079,NM_009881,NM_027238
NM_011934,NM_010826,NM_001039723,NM_025892
NM_011934,NM_025846,NM_001098230,NM_007569
NM_145836,NM_011965,NM_001007569,NM_001176528
NM_172584,NM_007908,NM_053245,NM_001037727
NM_001135001,NM_021887,NM_144536,NM_007888
NM_012023,NM_011363,NM_018865,NM_145836
NM_012023,NM_029609,NM_175511,NM_011616
NM_008291,NM_029609,NM_054043,NM_025400
NM_007974,NM_175268,NM_001024617,NM_021399
NM_007930,NR_035488,NM_023844,NM_146187
NM_007930,NM_011288,NM_009775,NM_007569
NR_035442,NM_031257,NM_001170868,NM_007872
NM_017479,NM_172911,NM_028262,NM_172500
NM_144841,NM_177304,NM_001145660,NM_008302
NM_001039198,NM_010592,NM_080728,NM_008337
NM_021480,NM_009001,NM_007836,NM_008413
NM_001081177,NM_029736,NM_010656,NM_008479
NM_013514,NM_010499,NM_007378,NM_020271
NM_009366,NM_008535,NM_027990,NM_007746
NR_015485,NM_022331,NM_009702,NM_009192
NM_009769,NM_018882,NM_011406,NM_145968
NM_011897,NM_173036,NM_146106,NM_011498
NM_011897,NM_001042715,NM_029122,NM_021366
NM_001034851,NM_010901,NM_009600,NM_177683
NR_003368,NM_027570,NM_178722,NM_009851
NM_001110827,NM_172285,NM_007416,NM_153138
NM_001033274,NM_172285,NR_028307,NM_001038846
NM_178114,NM_028071,NM_001160422,NM_010581
NM_028003,NM_178856,NM_146106,NM_025816
NM_021391,NM_009941,NM_145983,NM_001037298
NM_001003918,NM_145605,NM_021323,NM_009373
NM_013506,NM_001081121,NM_001164437,NM_010437
NM_133752,NM_011136,NM_022995,NR_003283
NM_023844,NM_028820,NM_010017,NM_177301
NM_001159517,NM_007783,NM_177860,NM_011893
NM_013642,NM_026942,NM_009694,NM_010009
NR_036469,NM_001083927,NM_144537,NM_009331
NM_008842,NM_177460,NM_025500,NM_027514
NM_010831,NM_153119,NM_054050,NM_010090
NM_013633,NM_173731,NM_026752,NM_175436
NM_001115075,NM_026122,NM_001146349,NM_017480
NM_146477,NM_007502,NM_001110830,NM_009421
NM_001111313,NM_007502,NM_145928,NM_027668
NM_001081636,NM_011279,NM_026713,NM_001113351
NM_172963,NM_001002896,NM_007656,NM_001190461
NM_001164077,NM_053159,NR_003513,NM_033042
NM_001164077,NM_133978,NM_028044,NM_018788
NM_001164074,NM_009371,NM_013553,NM_008138
NM_001164074,NM_009371,NM_010325,NM_010688
NM_001195766,NM_031185,NM_198018,NM_027975
NM_008989,NM_010511,NM_007570,NM_001025103
NM_022996,NM_178258,NM_029657,NM_009382
NM_011898,NM_026113,NM_144854,NM_029116
NM_011898,NM_001081054,NM_023041,NM_028139
NM_026135,NM_011156,NM_001037127,NM_138306
NR_029557,NM_019965,NM_007504,NM_019639
NM_001042660,NM_016803,NM_027966,NM_007393
NM_001042660,NM_009514,NM_001159634,NM_001113358
NM_201354,NM_007705,NM_175174,NM_011659
NR_003513,NM_172457,NM_031378,NM_172161
NM_001033759,NM_010304,NM_019743,NM_027871
NM_010638,NM_001042523,NR_033786,NR_033514
NM_010638,NM_001079876,NM_019390,NM_008974
NM_015826,NM_001080134,NM_019835,NM_001024617
NR_028427,NM_013508,NM_133771,NM_001166432
NM_027227,NM_009950,NM_025376,NM_175291
NR_003188,NM_026268,NM_054043,NM_028047
,NM_026268,NM_023049,NM_011246
,NM_009344,NM_172805,NM_007705
,NM_027468,NM_001033306,NR_015512
,NM_001014390,NM_054099,NM_007746
,NM_028669,NM_021544,NM_019748
,NM_009578,NM_053102,NM_026240
,NM_016672,NM_133739,NM_001037744
,NM_001190448,NM_008011,NM_001177812
,NM_001159290,NM_009083,NM_010238
,NM_009288,NM_025818,NM_016742
,NM_024475,NM_001083927,NM_001081636
,NM_007897,NM_177282,NM_029332
,NM_007897,NM_001113386,NM_001024468
,NM_007897,NM_133998,NM_001122892
,NM_007897,NM_028902,NM_001033538
,NM_029976,NM_009932,NM_028454
,NM_011340,NM_001110845,NM_011408
,NM_001164570,NM_019417,NM_009296
,NM_011408,NM_001037937,NM_008967
,NR_029738,NM_025768,NM_008359
,NM_031386,NM_007384,NM_011201
,NM_031386,NM_010160,NM_011808
,NR_029555,NM_027266,NM_009021
,NM_054043,NM_024197,NM_027185
,NM_001038664,NM_026551,NM_028696
,NM_207231,NM_011221,NM_053095
,NM_001176528,NM_024173,NM_011817
,NM_024456,NM_021433,NM_015806
,NM_025654,NM_029580,NM_011352
,NM_025404,NM_011711,NM_008856
,NM_008339,NM_009320,NM_183175
,NM_011101,NM_028898,NM_175092
,NM_001113488,NM_001081412,NM_010234
,NM_001195088,NM_028079,NM_009794
,NM_027919,NM_022992,NM_001037294
,NM_001112700,NM_175437,NM_133897
,NM_001112699,NM_173866,NM_001081150
,NM_007625,NM_134068,NM_172371
,NM_007625,NM_010019,NM_001001932
,NM_172443,NM_001033340,NM_010511
,NM_001146119,NM_001159603,NM_026414
,NM_011968,NM_009572,NM_011662
,NM_016893,NM_019965,NM_013508
,NM_009014,NM_001001979,NM_001033236
,NM_145836,NM_001122639,NM_011400
,NM_145836,NM_176829,NM_009419
,NM_023049,NM_009871,NM_010067
,NM_153776,NM_023117,NM_001159367
,NM_153776,NM_008037,NM_011346
,NM_001009545,NM_001081185,NM_007976
,NM_175930,NM_013831,NM_015811
,NM_175007,NM_199364,NM_010431
,NM_024270,NM_001145920,NM_001160251
,NM_178199,NM_144900,NM_001017426
,NM_178201,NM_010722,NM_001111022
,NM_178198,NM_133665,NR_029821
,NR_015492,NM_001004149,NR_015614
,NM_178187,NM_133816,NM_177320
,NM_178208,NM_024174,NM_017464
,NM_001166030,NM_024474,NM_001042660
,NM_025508,NM_011552,NM_008668
,NM_011518,NM_146224,NM_001159538
,NM_009946,NM_008881,NM_013807
,NM_028597,NR_026944,NR_027893
,NM_145976,NM_027885,NM_019572
,NM_028878,NM_009320,NM_144541
,NM_008369,NM_009317,NM_009800
,NM_021504,NM_007662,NM_207653
,NM_183208,NM_030207,NM_133757
,NR_033492,NM_010866,NM_001177674
,NM_001114879,NM_019397,NM_008338
,NM_001114879,NR_028575,NM_172785
,NM_001033668,NM_013905,NM_001081417
